id,eg_source,eg_title,eg_link,json
125,imb,World Food Clock,https://www.informationisbeautifulawards.com/news/221-the-categories-humanitarian-global,"    {'id':125,'eg_title':World Food Clock,'eg_source':imb,'eg_link':https://www.informationisbeautifulawards.com/news/221-the-categories-humanitarian-global},"
126,imb,Migration in the Census and in the News,https://www.informationisbeautifulawards.com/news/221-the-categories-humanitarian-global,"    {'id':126,'eg_title':Migration in the Census and in the News,'eg_source':imb,'eg_link':https://www.informationisbeautifulawards.com/news/221-the-categories-humanitarian-global},"
127,imb,Data Cuisine,https://www.informationisbeautifulawards.com/news/222-the-categories-unusual,"    {'id':127,'eg_title':Data Cuisine,'eg_source':imb,'eg_link':https://www.informationisbeautifulawards.com/news/222-the-categories-unusual},"
128,imb,Here Is Europe’s Chocolate Consumption IN 2015,https://www.informationisbeautifulawards.com/news/232-revealed-the-iib-awards-2017-longlist,"    {'id':128,'eg_title':Here Is Europe’s Chocolate Consumption IN 2015,'eg_source':imb,'eg_link':https://www.informationisbeautifulawards.com/news/232-revealed-the-iib-awards-2017-longlist},"
129,imb,Rhythm of Food,https://www.informationisbeautifulawards.com/news/268-the-winners-sports-games-leisure,"    {'id':129,'eg_title':Rhythm of Food,'eg_source':imb,'eg_link':https://www.informationisbeautifulawards.com/news/268-the-winners-sports-games-leisure},"
130,imb,The “uh” versus “um” map of America,https://www.informationisbeautifulawards.com/news/37-the-uh-versus-um-map-of-america,"    {'id':130,'eg_title':The “uh” versus “um” map of America,'eg_source':imb,'eg_link':https://www.informationisbeautifulawards.com/news/37-the-uh-versus-um-map-of-america},"
131,quartz,We’re running out of room on the “And Counting” t-shirt to add all the unarmed black people killed by cops in America,https://twitter.com/MelvinBackman/status/544490397339119618,"    {'id':131,'eg_title':We’re running out of room on the “And Counting” t-shirt to add all the unarmed black people killed by cops in America,'eg_source':quartz,'eg_link':https://twitter.com/MelvinBackman/status/544490397339119618},"
132,reuters,"A box-office juggernaut, the MCU is the highest-grossing film franchise of all time.",https://graphics.reuters.com/USA-FILM-AVENGERS/010091KC2B2/index.html,"    {'id':132,'eg_title':A box-office juggernaut, the MCU is the highest-grossing film franchise of all time.,'eg_source':reuters,'eg_link':https://graphics.reuters.com/USA-FILM-AVENGERS/010091KC2B2/index.html},"
133,reuters,"Sea Level Rise
By The Numbers",https://graphics.reuters.com/CLIMATECHANGE-GREENLAND-SEALEVELS/010080F60WR/index.html,"    {'id':133,'eg_title':Sea Level Rise
By The Numbers,'eg_source':reuters,'eg_link':https://graphics.reuters.com/CLIMATECHANGE-GREENLAND-SEALEVELS/010080F60WR/index.html},"
134,reuters,Talking heads,https://graphics.reuters.com/USA-RUSSIA/010071702F8/index.html,"    {'id':134,'eg_title':Talking heads,'eg_source':reuters,'eg_link':https://graphics.reuters.com/USA-RUSSIA/010071702F8/index.html},"
